building,name,addr:housenumber,addr:street,height,geometry,city
yes,,20,Brooksbank Avenue,,"POLYGON ((-123.041786 49.301539, -123.041682 49.301504, -123.041693 49.301489, -123.041545 49.301438, -123.041521 49.301468, -123.041502 49.301466, -123.041321 49.301693, -123.041359 49.301705, -123.04135 49.301717, -123.041382 49.301728, -123.041588 49.301798, -123.041614 49.301765, -123.041627 49.301769, -123.041778 49.30158, -123.041758 49.301574, -123.041786 49.301539))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.041096 49.30171, -123.04063 49.302282, -123.040818 49.302347, -123.041284 49.301775, -123.041096 49.30171))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.042029 49.30126, -123.04224 49.301332, -123.042075 49.301538, -123.041917 49.301484, -123.041957 49.301433, -123.041904 49.301415, -123.042029 49.30126))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.041011 49.302513, -123.04068 49.302405, -123.040611 49.302495, -123.040593 49.302489, -123.040411 49.302726, -123.040689 49.302817, -123.040783 49.302696, -123.040853 49.302718, -123.041011 49.302513))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.074893 49.308286, -123.075919 49.307272, -123.075412 49.307054, -123.074847 49.307613, -123.074628 49.307829, -123.074386 49.308068, -123.074893 49.308286))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.07446 49.307197, -123.073775 49.306897, -123.073219 49.307452, -123.073622 49.307631, -123.074151 49.307523, -123.07446 49.307197))","City of North Vancouver, British Columbia, Canada"
yes,,201,,,"POLYGON ((-123.076237 49.308323, -123.076006 49.308223, -123.07605 49.308184, -123.075889 49.308111, -123.075925 49.308076, -123.075908 49.308069, -123.075957 49.308016, -123.075844 49.307965, -123.075791 49.308014, -123.075539 49.307906, -123.075461 49.307987, -123.075396 49.307957, -123.075196 49.308154, -123.076026 49.308528, -123.076237 49.308323))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.077338 49.307951, -123.077175 49.30812, -123.077723 49.30836, -123.077898 49.308186, -123.077338 49.307951))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060926 49.305888, -123.060857 49.305678, -123.059284 49.3059, -123.059353 49.30611, -123.060926 49.305888))","City of North Vancouver, British Columbia, Canada"
yes,,115,Victory Ship Way,,"POLYGON ((-123.079834 49.310152, -123.079656 49.310074, -123.079717 49.310015, -123.079656 49.309988, -123.079598 49.310043, -123.079582 49.310036, -123.079266 49.31034, -123.079469 49.31043, -123.079494 49.310406, -123.079546 49.310429, -123.079834 49.310152))","City of North Vancouver, British Columbia, Canada"
