building,name,addr:housenumber,addr:street,height,geometry,city
yes,,,,,"POLYGON ((-123.064418 49.305276, -123.064418 49.305292, -123.064409 49.305308, -123.064393 49.305321, -123.064371 49.30533, -123.064346 49.305333, -123.064321 49.305332, -123.064298 49.305325, -123.064279 49.305313, -123.064267 49.305298, -123.064264 49.305281, -123.064269 49.305264, -123.064282 49.30525, -123.064302 49.305239, -123.064326 49.305233, -123.064351 49.305232, -123.064376 49.305237, -123.064396 49.305247, -123.064411 49.30526, -123.064418 49.305276))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064403 49.305174, -123.064402 49.30519, -123.064393 49.305206, -123.064377 49.305218, -123.064356 49.305227, -123.064331 49.305231, -123.064306 49.305229, -123.064282 49.305222, -123.064264 49.305211, -123.064252 49.305196, -123.064248 49.305179, -123.064253 49.305162, -123.064267 49.305148, -123.064286 49.305137, -123.064311 49.305131, -123.064336 49.30513, -123.06436 49.305135, -123.064381 49.305144, -123.064396 49.305158, -123.064403 49.305174))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064573 49.305268, -123.064572 49.305284, -123.064564 49.3053, -123.064548 49.305312, -123.064526 49.305321, -123.064501 49.305325, -123.064476 49.305323, -123.064452 49.305316, -123.064434 49.305305, -123.064422 49.30529, -123.064418 49.305273, -123.064424 49.305256, -123.064437 49.305242, -123.064457 49.305231, -123.064481 49.305225, -123.064506 49.305224, -123.06453 49.305229, -123.064551 49.305238, -123.064566 49.305252, -123.064573 49.305268))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064559 49.305166, -123.064558 49.305183, -123.064549 49.305198, -123.064533 49.305211, -123.064511 49.30522, -123.064487 49.305224, -123.064461 49.305222, -123.064438 49.305215, -123.064419 49.305203, -123.064407 49.305188, -123.064404 49.305171, -123.064409 49.305155, -123.064422 49.30514, -123.064442 49.305129, -123.064466 49.305123, -123.064492 49.305122, -123.064516 49.305127, -123.064536 49.305137, -123.064551 49.30515, -123.064559 49.305166))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064732 49.305254, -123.064731 49.305271, -123.064722 49.305286, -123.064706 49.305299, -123.064684 49.305308, -123.06466 49.305312, -123.064635 49.30531, -123.064611 49.305303, -123.064592 49.305291, -123.06458 49.305276, -123.064577 49.30526, -123.064582 49.305243, -123.064595 49.305228, -123.064615 49.305217, -123.064639 49.305211, -123.064665 49.305211, -123.064689 49.305216, -123.06471 49.305225, -123.064724 49.305239, -123.064732 49.305254))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064717 49.305153, -123.064716 49.30517, -123.064708 49.305185, -123.064691 49.305198, -123.06467 49.305206, -123.064645 49.30521, -123.06462 49.305209, -123.064596 49.305202, -123.064578 49.30519, -123.064566 49.305175, -123.064562 49.305158, -123.064568 49.305141, -123.064581 49.305127, -123.064601 49.305116, -123.064625 49.30511, -123.06465 49.305109, -123.064674 49.305114, -123.064695 49.305124, -123.06471 49.305137, -123.064717 49.305153))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064888 49.305249, -123.064887 49.305265, -123.064878 49.305281, -123.064862 49.305294, -123.064841 49.305302, -123.064816 49.305306, -123.064791 49.305304, -123.064767 49.305297, -123.064748 49.305286, -123.064737 49.305271, -123.064733 49.305254, -123.064738 49.305237, -123.064752 49.305223, -123.064771 49.305212, -123.064796 49.305206, -123.064821 49.305205, -123.064845 49.30521, -123.064866 49.30522, -123.064881 49.305233, -123.064888 49.305249))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.064874 49.305147, -123.064873 49.305164, -123.064864 49.305179, -123.064848 49.305192, -123.064826 49.305201, -123.064801 49.305204, -123.064776 49.305203, -123.064753 49.305196, -123.064734 49.305184, -123.064722 49.305169, -123.064719 49.305152, -123.064724 49.305136, -123.064737 49.305121, -123.064757 49.30511, -123.064781 49.305104, -123.064806 49.305104, -123.064831 49.305108, -123.064851 49.305118, -123.064866 49.305131, -123.064874 49.305147))","City of North Vancouver, British Columbia, Canada"
roof,,,,,"POLYGON ((-123.065697 49.305388, -123.065692 49.305356, -123.065685 49.305298, -123.065678 49.305249, -123.064946 49.305289, -123.064965 49.305429, -123.065697 49.305388))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060733 49.305746, -123.060716 49.305731, -123.060708 49.305714, -123.060708 49.305696, -123.060717 49.30568, -123.060734 49.305666, -123.060757 49.305656, -123.060784 49.305652, -123.06081 49.305654, -123.060835 49.305661, -123.060855 49.305673, -123.060868 49.305688, -123.060873 49.305706, -123.060869 49.305723, -123.060857 49.30574, -123.060838 49.305751, -123.060812 49.305758, -123.060784 49.30576, -123.060757 49.305756, -123.060733 49.305746))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060595 49.305778, -123.060572 49.305768, -123.060556 49.305754, -123.060549 49.305737, -123.060548 49.30572, -123.060557 49.305703, -123.060575 49.305689, -123.060598 49.305679, -123.060625 49.305675, -123.060652 49.305677, -123.060677 49.305685, -123.060697 49.305698, -123.060708 49.305714, -123.060713 49.305731, -123.060707 49.305749, -123.060694 49.305764, -123.060673 49.305775, -123.060648 49.305782, -123.060621 49.305783, -123.060595 49.305778))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060434 49.305801, -123.060412 49.305791, -123.060396 49.305777, -123.060388 49.30576, -123.060388 49.305742, -123.060398 49.305725, -123.060416 49.305712, -123.060439 49.305702, -123.060466 49.305699, -123.060493 49.305701, -123.060518 49.305709, -123.060537 49.305721, -123.060549 49.305737, -123.060552 49.305755, -123.060547 49.305772, -123.060533 49.305787, -123.060512 49.305799, -123.060487 49.305805, -123.06046 49.305806, -123.060434 49.305801))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060284 49.305825, -123.060261 49.305817, -123.060244 49.305805, -123.060233 49.305789, -123.06023 49.305776, -123.060232 49.305762, -123.060243 49.305746, -123.06026 49.305734, -123.060284 49.305725, -123.06031 49.305722, -123.060336 49.305724, -123.06036 49.305732, -123.060378 49.305744, -123.060388 49.30576, -123.060393 49.305776, -123.060389 49.305793, -123.060376 49.305808, -123.060358 49.305819, -123.060334 49.305826, -123.060309 49.305828, -123.060284 49.305825))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.05996 49.305866, -123.059938 49.305856, -123.059921 49.305842, -123.059913 49.305825, -123.059913 49.305807, -123.059923 49.30579, -123.05994 49.305776, -123.059963 49.305767, -123.05999 49.305763, -123.060017 49.305765, -123.060042 49.305772, -123.060062 49.305785, -123.060072 49.305801, -123.060078 49.305819, -123.060072 49.305836, -123.060059 49.305851, -123.060038 49.305863, -123.060013 49.30587, -123.059986 49.305871, -123.05996 49.305866))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059799 49.305889, -123.059777 49.305879, -123.059761 49.305865, -123.059755 49.305848, -123.059753 49.30583, -123.059763 49.305813, -123.05978 49.305799, -123.059804 49.30579, -123.059831 49.305786, -123.059858 49.305788, -123.059883 49.305796, -123.059902 49.305809, -123.059913 49.305825, -123.059918 49.305842, -123.059912 49.30586, -123.059898 49.305875, -123.059878 49.305886, -123.059852 49.305893, -123.059826 49.305894, -123.059799 49.305889))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059647 49.305914, -123.059624 49.305906, -123.059606 49.305894, -123.059596 49.305878, -123.059593 49.30586, -123.0596 49.305842, -123.059616 49.305826, -123.059639 49.305815, -123.059666 49.30581, -123.059695 49.305811, -123.059721 49.305818, -123.059742 49.305831, -123.059755 49.305848, -123.059758 49.305865, -123.059754 49.305881, -123.059741 49.305896, -123.059722 49.305908, -123.059699 49.305915, -123.059673 49.305918, -123.059647 49.305914))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060098 49.305833, -123.060081 49.305819, -123.060072 49.305801, -123.060072 49.305784, -123.060081 49.305768, -123.060097 49.305754, -123.060119 49.305745, -123.060144 49.30574, -123.06017 49.305741, -123.060195 49.305747, -123.060215 49.305758, -123.060229 49.305772, -123.060233 49.305789, -123.060233 49.305807, -123.060222 49.305824, -123.060202 49.305837, -123.060177 49.305845, -123.060149 49.305847, -123.060122 49.305843, -123.060098 49.305833))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059319 49.305953, -123.059297 49.305943, -123.059281 49.305929, -123.059272 49.305912, -123.059272 49.305894, -123.059282 49.305877, -123.059299 49.305863, -123.059323 49.305854, -123.05935 49.30585, -123.059377 49.305852, -123.059402 49.30586, -123.059421 49.305872, -123.059432 49.305888, -123.059437 49.305906, -123.059432 49.305923, -123.059418 49.305938, -123.059398 49.30595, -123.059372 49.305957, -123.059345 49.305958, -123.059319 49.305953))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059458 49.30592, -123.05944 49.305906, -123.059432 49.305888, -123.059432 49.305871, -123.059441 49.305855, -123.059457 49.305841, -123.059479 49.305831, -123.059505 49.305827, -123.059532 49.305828, -123.059556 49.305834, -123.059577 49.305845, -123.059591 49.30586, -123.059596 49.305878, -123.059593 49.305896, -123.059581 49.305912, -123.059561 49.305925, -123.059536 49.305933, -123.059508 49.305934, -123.059481 49.30593, -123.059458 49.30592))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060797 49.305924, -123.06078 49.305909, -123.060772 49.305892, -123.060772 49.305875, -123.060781 49.305859, -123.060797 49.305845, -123.060819 49.305836, -123.060844 49.305831, -123.060869 49.305833, -123.060895 49.305837, -123.060917 49.305849, -123.060931 49.305865, -123.060937 49.305883, -123.060933 49.305901, -123.060921 49.305917, -123.060901 49.305929, -123.060875 49.305937, -123.060847 49.305938, -123.06082 49.305934, -123.060797 49.305924))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.06066 49.305956, -123.060637 49.305947, -123.060621 49.305932, -123.060614 49.305915, -123.060613 49.305898, -123.060622 49.305881, -123.06064 49.305867, -123.060663 49.305857, -123.06069 49.305853, -123.060717 49.305855, -123.060742 49.305863, -123.060762 49.305876, -123.060772 49.305892, -123.060778 49.305909, -123.060772 49.305927, -123.060758 49.305942, -123.060738 49.305954, -123.060713 49.30596, -123.060686 49.305961, -123.06066 49.305956))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060499 49.305979, -123.060477 49.305969, -123.060461 49.305955, -123.060453 49.305938, -123.060453 49.30592, -123.060463 49.305904, -123.060481 49.30589, -123.060504 49.305881, -123.060531 49.305877, -123.060558 49.305879, -123.060583 49.305887, -123.060602 49.305899, -123.060614 49.305915, -123.060617 49.305933, -123.060612 49.30595, -123.060598 49.305966, -123.060577 49.305977, -123.060552 49.305984, -123.060525 49.305984, -123.060499 49.305979))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060349 49.306003, -123.060326 49.305995, -123.060309 49.305983, -123.060298 49.305968, -123.060295 49.305954, -123.060297 49.30594, -123.060308 49.305925, -123.060326 49.305912, -123.060348 49.305903, -123.060375 49.3059, -123.060401 49.305902, -123.060425 49.30591, -123.060443 49.305922, -123.060453 49.305938, -123.060458 49.305954, -123.060454 49.305971, -123.060441 49.305986, -123.060423 49.305997, -123.060399 49.306004, -123.060374 49.306006, -123.060349 49.306003))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060163 49.306011, -123.060146 49.305997, -123.060137 49.305979, -123.060137 49.305962, -123.060146 49.305946, -123.060162 49.305932, -123.060184 49.305923, -123.060209 49.305918, -123.060235 49.305919, -123.06026 49.305925, -123.06028 49.305936, -123.060294 49.30595, -123.060298 49.305968, -123.060298 49.305985, -123.060286 49.306002, -123.060267 49.306015, -123.060242 49.306023, -123.060214 49.306025, -123.060186 49.306021, -123.060163 49.306011))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060025 49.306044, -123.060003 49.306034, -123.059986 49.30602, -123.059978 49.306003, -123.059978 49.305985, -123.059988 49.305968, -123.060005 49.305954, -123.060028 49.305945, -123.060055 49.305941, -123.060082 49.305943, -123.060107 49.305951, -123.060127 49.305963, -123.060137 49.305979, -123.060143 49.305997, -123.060137 49.306014, -123.060124 49.306029, -123.060103 49.306041, -123.060078 49.306048, -123.060051 49.306049, -123.060025 49.306044))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059864 49.306067, -123.059842 49.306057, -123.059826 49.306043, -123.059818 49.306026, -123.059818 49.306008, -123.059828 49.305991, -123.059845 49.305978, -123.059869 49.305968, -123.059896 49.305964, -123.059923 49.305966, -123.059948 49.305974, -123.059967 49.305987, -123.059978 49.306003, -123.059982 49.306021, -123.059977 49.306038, -123.059963 49.306053, -123.059942 49.306064, -123.059917 49.306071, -123.05989 49.306072, -123.059864 49.306067))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059706 49.306091, -123.059683 49.306081, -123.059667 49.306067, -123.05966 49.30605, -123.059659 49.306032, -123.059668 49.306015, -123.059686 49.306001, -123.059709 49.305992, -123.059736 49.305988, -123.059763 49.30599, -123.059788 49.305997, -123.059808 49.30601, -123.059818 49.306026, -123.059823 49.306044, -123.059818 49.306061, -123.059804 49.306076, -123.059784 49.306088, -123.059759 49.306094, -123.059732 49.306095, -123.059706 49.306091))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059541 49.306107, -123.05952 49.306097, -123.059504 49.306083, -123.059496 49.306067, -123.059497 49.30605, -123.059505 49.306034, -123.05952 49.30602, -123.059541 49.30601, -123.059565 49.306005, -123.059591 49.306005, -123.059616 49.30601, -123.059636 49.30602, -123.059652 49.306034, -123.05966 49.30605, -123.05966 49.306066, -123.059653 49.306083, -123.059638 49.306097, -123.059616 49.306107, -123.059592 49.306112, -123.059566 49.306112, -123.059541 49.306107))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.059384 49.306131, -123.059362 49.306121, -123.059346 49.306107, -123.059337 49.30609, -123.059337 49.306072, -123.059347 49.306055, -123.059364 49.306041, -123.059388 49.306032, -123.059414 49.306028, -123.059442 49.30603, -123.059467 49.306038, -123.059486 49.30605, -123.059496 49.306067, -123.059502 49.306084, -123.059497 49.306101, -123.059483 49.306117, -123.059462 49.306128, -123.059437 49.306135, -123.05941 49.306136, -123.059384 49.306131))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.060848 49.305824, -123.060832 49.305812, -123.060822 49.305797, -123.06082 49.305781, -123.060826 49.305765, -123.060838 49.305751, -123.060857 49.30574, -123.060883 49.305733, -123.060911 49.305732, -123.060937 49.305737, -123.06096 49.305748, -123.060975 49.305762, -123.060982 49.30578, -123.06098 49.305798, -123.060968 49.305814, -123.060948 49.305827, -123.060923 49.305835, -123.060895 49.305837, -123.060869 49.305833, -123.060848 49.305824))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.05919 49.306159, -123.05788 49.306338, -123.057809 49.30608, -123.059094 49.305892, -123.05919 49.306159))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.057259 49.306394, -123.057184 49.306171, -123.056249 49.306306, -123.056324 49.306528, -123.057259 49.306394))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.056324 49.306528, -123.056274 49.306571, -123.054791 49.306767, -123.054738 49.306755, -123.05467 49.306532, -123.054688 49.306504, -123.056211 49.306296, -123.056249 49.306306, -123.056324 49.306528))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044673 49.303761, -123.044649 49.303776, -123.044619 49.303785, -123.044586 49.303787, -123.044554 49.303782, -123.044527 49.30377, -123.044506 49.303754, -123.044496 49.303733, -123.044496 49.303712, -123.044507 49.303692, -123.044527 49.303675, -123.044555 49.303663, -123.044587 49.303658, -123.04462 49.303661, -123.044649 49.303669, -123.044672 49.303684, -123.044687 49.303702, -123.044692 49.303722, -123.044688 49.303742, -123.044673 49.303761))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044732 49.303636, -123.04471 49.303651, -123.044682 49.303661, -123.044651 49.303664, -123.04462 49.303661, -123.04459 49.30365, -123.044568 49.303634, -123.044555 49.303613, -123.044553 49.303592, -123.044563 49.30357, -123.044583 49.303553, -123.044611 49.303541, -123.044644 49.303535, -123.044678 49.303538, -123.044706 49.303546, -123.044729 49.30356, -123.044744 49.303578, -123.04475 49.303598, -123.044747 49.303618, -123.044732 49.303636))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044842 49.30339, -123.04482 49.303404, -123.044792 49.303414, -123.044761 49.303417, -123.04473 49.303413, -123.044701 49.303403, -123.044679 49.303387, -123.044666 49.303368, -123.044663 49.303346, -123.044672 49.303325, -123.04469 49.303308, -123.044717 49.303295, -123.044748 49.303288, -123.044781 49.303289, -123.044812 49.303297, -123.044837 49.303311, -123.044854 49.303329, -123.04486 49.30335, -123.044856 49.303372, -123.044842 49.30339))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044786 49.303511, -123.044765 49.303526, -123.044739 49.303536, -123.044708 49.30354, -123.044678 49.303538, -123.044649 49.303529, -123.044626 49.303516, -123.044611 49.303498, -123.044605 49.303478, -123.044608 49.303458, -123.044621 49.30344, -123.044642 49.303425, -123.044669 49.303415, -123.044699 49.303411, -123.04473 49.303413, -123.044758 49.303422, -123.044781 49.303435, -123.044796 49.303453, -123.044802 49.303473, -123.044799 49.303492, -123.044786 49.303511))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.045189 49.303918, -123.045167 49.303933, -123.045138 49.303942, -123.045107 49.303944, -123.045076 49.303941, -123.045047 49.30393, -123.045025 49.303913, -123.045013 49.303892, -123.045012 49.30387, -123.045023 49.30385, -123.045044 49.303832, -123.045072 49.303821, -123.045105 49.303816, -123.045137 49.303818, -123.045165 49.303827, -123.045188 49.303841, -123.045203 49.303859, -123.045208 49.30388, -123.045204 49.3039, -123.045189 49.303918))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.045248 49.303794, -123.045226 49.303808, -123.045199 49.303818, -123.045168 49.303821, -123.045137 49.303818, -123.045111 49.303809, -123.04509 49.303796, -123.045076 49.303779, -123.04507 49.30376, -123.045073 49.303742, -123.045084 49.303723, -123.045105 49.303707, -123.045132 49.303697, -123.045163 49.303692, -123.045195 49.303695, -123.045223 49.303703, -123.045246 49.303717, -123.045261 49.303735, -123.045266 49.303755, -123.045262 49.303776, -123.045248 49.303794))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.045302 49.303668, -123.045282 49.303683, -123.045255 49.303693, -123.045225 49.303697, -123.045195 49.303695, -123.045166 49.303687, -123.045143 49.303673, -123.045128 49.303656, -123.045122 49.303636, -123.045127 49.303616, -123.045138 49.303597, -123.045159 49.303582, -123.045186 49.303572, -123.045216 49.303568, -123.045247 49.303571, -123.045275 49.303579, -123.045297 49.303593, -123.045312 49.30361, -123.045319 49.30363, -123.045315 49.30365, -123.045302 49.303668))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.045358 49.303546, -123.045337 49.303561, -123.045309 49.30357, -123.045278 49.303574, -123.045247 49.303571, -123.045217 49.30356, -123.045195 49.303544, -123.045182 49.303523, -123.04518 49.303501, -123.04519 49.30348, -123.04521 49.303463, -123.045238 49.30345, -123.045271 49.303445, -123.045305 49.303448, -123.045333 49.303456, -123.045356 49.30347, -123.045371 49.303488, -123.045377 49.303508, -123.045372 49.303528, -123.045358 49.303546))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044871 49.303789, -123.044855 49.303802, -123.044829 49.303814, -123.044799 49.303819, -123.044768 49.303819, -123.044739 49.303812, -123.044714 49.303799, -123.044697 49.303782, -123.044688 49.303763, -123.044688 49.303742, -123.044701 49.303723, -123.044722 49.303706, -123.04475 49.303696, -123.044782 49.303691, -123.044814 49.303694, -123.044845 49.303703, -123.044868 49.303719, -123.044882 49.303739, -123.044885 49.303756, -123.044882 49.303773, -123.044871 49.303789))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044924 49.30367, -123.044904 49.303684, -123.044876 49.303693, -123.044845 49.303697, -123.044814 49.303694, -123.044788 49.303686, -123.044766 49.303673, -123.044752 49.303656, -123.044745 49.303638, -123.044747 49.303618, -123.04476 49.303599, -123.044781 49.303583, -123.044809 49.303572, -123.04484 49.303568, -123.044872 49.303571, -123.044902 49.303581, -123.044924 49.303596, -123.044938 49.303616, -123.044942 49.303634, -123.044937 49.303653, -123.044924 49.30367))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.04498 49.303542, -123.044963 49.303556, -123.044936 49.303567, -123.044905 49.303572, -123.044872 49.303571, -123.044844 49.303563, -123.044821 49.30355, -123.044805 49.303532, -123.044798 49.303513, -123.044799 49.303492, -123.044814 49.303474, -123.044835 49.303458, -123.044862 49.303448, -123.044893 49.303444, -123.044925 49.303447, -123.044955 49.303456, -123.044978 49.303472, -123.044992 49.303492, -123.044995 49.303509, -123.044991 49.303526, -123.04498 49.303542))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.045037 49.303422, -123.045013 49.303436, -123.044987 49.303446, -123.044956 49.303449, -123.044925 49.303447, -123.044899 49.303438, -123.044878 49.303425, -123.044864 49.303409, -123.044857 49.303391, -123.044856 49.303372, -123.04487 49.303353, -123.04489 49.303337, -123.044917 49.303326, -123.044948 49.303321, -123.044979 49.303322, -123.045008 49.303331, -123.045032 49.303344, -123.045048 49.303362, -123.045054 49.303382, -123.04505 49.303403, -123.045037 49.303422))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044998 49.303887, -123.044976 49.303901, -123.044948 49.30391, -123.044916 49.303913, -123.044885 49.303909, -123.044856 49.303898, -123.044834 49.303882, -123.044822 49.303861, -123.044821 49.303839, -123.044832 49.303818, -123.044855 49.303802, -123.044882 49.303789, -123.044915 49.303785, -123.044946 49.303787, -123.044974 49.303796, -123.044997 49.30381, -123.045012 49.303828, -123.045018 49.303848, -123.045012 49.30387, -123.044998 49.303887))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.04506 49.303761, -123.045038 49.303776, -123.04501 49.303786, -123.044978 49.30379, -123.044946 49.303787, -123.044916 49.303776, -123.044894 49.30376, -123.044882 49.303739, -123.044879 49.303719, -123.044887 49.3037, -123.044904 49.303684, -123.044924 49.303671, -123.044949 49.303664, -123.044976 49.303661, -123.045004 49.303663, -123.045032 49.303672, -123.045054 49.303685, -123.045069 49.303702, -123.045076 49.303722, -123.045073 49.303742, -123.04506 49.303761))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.045115 49.303635, -123.045094 49.303651, -123.045067 49.303661, -123.045036 49.303665, -123.045004 49.303663, -123.044981 49.303656, -123.04496 49.303646, -123.044945 49.303632, -123.044938 49.303616, -123.044934 49.303594, -123.044943 49.303573, -123.044963 49.303556, -123.04499 49.303543, -123.045023 49.303537, -123.045056 49.303539, -123.045084 49.303547, -123.045107 49.30356, -123.045123 49.303577, -123.04513 49.303596, -123.045127 49.303616, -123.045115 49.303635))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.045165 49.303518, -123.045143 49.303532, -123.045116 49.30354, -123.045086 49.303542, -123.045056 49.303539, -123.045027 49.303529, -123.045004 49.303512, -123.044992 49.303492, -123.04499 49.303472, -123.044997 49.303453, -123.045013 49.303436, -123.04504 49.303422, -123.045072 49.303415, -123.045107 49.303415, -123.045138 49.303423, -123.045164 49.303438, -123.045181 49.303457, -123.045186 49.303479, -123.04518 49.303501, -123.045165 49.303518))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.04476 49.30407, -123.044743 49.304083, -123.044716 49.304094, -123.044684 49.3041, -123.044652 49.304098, -123.044624 49.30409, -123.044601 49.304077, -123.044585 49.30406, -123.044578 49.30404, -123.044579 49.30402, -123.044593 49.304001, -123.044614 49.303986, -123.044642 49.303975, -123.044673 49.303971, -123.044705 49.303974, -123.044735 49.303984, -123.044758 49.303999, -123.044772 49.304019, -123.044775 49.304036, -123.044771 49.304054, -123.04476 49.30407))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044566 49.304038, -123.044545 49.304053, -123.044518 49.304063, -123.044488 49.304067, -123.044457 49.304065, -123.044429 49.304056, -123.044406 49.304043, -123.044391 49.304025, -123.044385 49.304006, -123.044388 49.303986, -123.044401 49.303967, -123.044422 49.303952, -123.044449 49.303942, -123.044479 49.303938, -123.04451 49.303941, -123.044538 49.303949, -123.044561 49.303962, -123.044576 49.30398, -123.044582 49.304, -123.044579 49.30402, -123.044566 49.304038))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044622 49.303917, -123.0446 49.303932, -123.044572 49.303941, -123.044541 49.303944, -123.04451 49.303941, -123.044481 49.30393, -123.044458 49.303914, -123.044445 49.303895, -123.044443 49.303873, -123.044452 49.303852, -123.04447 49.303835, -123.044497 49.303822, -123.044528 49.303816, -123.044561 49.303816, -123.044592 49.303824, -123.044617 49.303838, -123.044634 49.303856, -123.04464 49.303878, -123.044636 49.303899, -123.044622 49.303917))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044816 49.303949, -123.044793 49.303963, -123.044767 49.303973, -123.044736 49.303976, -123.044705 49.303974, -123.044679 49.303965, -123.044658 49.303952, -123.044644 49.303936, -123.044637 49.303918, -123.044636 49.303899, -123.04465 49.30388, -123.04467 49.303864, -123.044696 49.303853, -123.044727 49.303848, -123.044759 49.30385, -123.044788 49.303858, -123.044812 49.303871, -123.044828 49.303889, -123.044834 49.30391, -123.04483 49.30393, -123.044816 49.303949))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044512 49.304164, -123.04449 49.304178, -123.044462 49.304188, -123.044431 49.304191, -123.0444 49.304188, -123.04437 49.304177, -123.044347 49.304161, -123.044334 49.304141, -123.044333 49.304119, -123.044343 49.304098, -123.044363 49.30408, -123.044391 49.304068, -123.044424 49.304062, -123.044457 49.304065, -123.044486 49.304073, -123.044509 49.304087, -123.044524 49.304105, -123.04453 49.304125, -123.044527 49.304146, -123.044512 49.304164))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044703 49.304197, -123.044683 49.304211, -123.044656 49.30422, -123.044625 49.304224, -123.044594 49.304221, -123.044568 49.304213, -123.044546 49.3042, -123.044531 49.304183, -123.044525 49.304165, -123.044527 49.304146, -123.044539 49.304126, -123.04456 49.30411, -123.044588 49.3041, -123.04462 49.304096, -123.044652 49.304098, -123.044681 49.304108, -123.044704 49.304123, -123.044718 49.304143, -123.044722 49.304162, -123.044716 49.30418, -123.044703 49.304197))","City of North Vancouver, British Columbia, Canada"
yes,,,,,"POLYGON ((-123.044452 49.304288, -123.044429 49.304303, -123.044399 49.304312, -123.044366 49.304314, -123.044334 49.304309, -123.044306 49.304298, -123.044286 49.304281, -123.044276 49.30426, -123.044276 49.304239, -123.044287 49.304219, -123.044307 49.304202, -123.044335 49.304191, -123.044367 49.304186, -123.0444 49.304188, -123.044428 49.304196, -123.044451 49.304211, -123.044466 49.304229, -123.044472 49.304249, -123.044467 49.30427, -123.044452 49.304288))","City of North Vancouver, British Columbia, Canada"
